d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed,region,assists_per_level,damage_obj_per_level,damage_building_per_level,damage_turrets_per_level,deaths_per_level,kills_per_level,time_cc_per_level,damage_taken_per_level,turret_kills_per_level,vision_score_per_level,damage_total_per_level,gold_earned_per_level
7.0,4.0,Ezreal,Side.blue,11.0,2560.0,8004.0,2560.0,5.0,3.0,4.0,15.0,0.0,19634.0,2.0,14.0,144322,12141,Other,Many,EU,0.7333333333333333,170.66666666666666,533.6,170.66666666666666,0.3333333333333333,0.26666666666666666,0.0,1308.9333333333334,0.13333333333333333,0.9333333333333333,9621.466666666667,809.4
4.0,14.0,Nautilus,Side.blue,1.0,0.0,,0.0,7.0,0.285714286,1.0,8.0,17.0,12419.0,0.0,21.0,13905,4033,Other,Few,EU,0.125,0.0,75.02577592394954,0.0,0.875,0.125,2.125,1552.375,0.0,2.625,1738.125,504.125
11.0,6.0,Hecarim,Side.blue,2.0,0.0,3740.0,0.0,7.0,1.142857143,6.0,11.0,16.0,30313.0,0.0,15.0,96512,8353,TopLane_Jungle,Few,EU,0.18181818181818182,0.0,340.0,0.0,0.6363636363636364,0.5454545454545454,1.4545454545454546,2755.7272727272725,0.0,1.3636363636363635,8773.818181818182,759.3636363636364
14.0,4.0,Pyke,Side.red,13.0,1614.0,2913.0,,7.0,2.714285714,6.0,16.0,17.0,26622.0,0.0,91.0,30162,13496,Other,Few,EU,0.8125,100.875,182.0625,,0.4375,0.375,1.0625,1663.875,0.0,5.6875,1885.125,843.5
7.0,4.0,Ezreal,Side.blue,8.0,7365.0,21623.0,7365.0,1.0,14.0,6.0,15.0,7.0,,2.0,17.0,217777,15629,Other,Many,EU,0.5333333333333333,491.0,1441.5333333333333,491.0,0.06666666666666667,0.4,0.4666666666666667,1279.8026152138277,0.13333333333333333,1.1333333333333333,14518.466666666667,1041.9333333333334
4.0,14.0,Nidalee,Side.red,8.0,3932.0,11799.0,3932.0,3.0,3.333333333,2.0,13.0,0.0,16341.0,3.0,11.0,99229,8895,Other,Many,EU,0.6153846153846154,302.46153846153845,907.6153846153846,302.46153846153845,0.23076923076923078,0.15384615384615385,0.0,1257.0,0.23076923076923078,0.8461538461538461,7633.0,684.2307692307693
4.0,12.0,Akali,Side.red,2.0,0.0,266.0,0.0,5.0,2.4,10.0,15.0,1.0,23744.0,0.0,19.0,114061,11590,Other,Many,EU,0.13333333333333333,0.0,17.733333333333334,0.0,0.3333333333333333,0.6666666666666666,0.06666666666666667,1582.9333333333334,0.0,1.2666666666666666,7604.066666666667,772.6666666666666
4.0,7.0,Caitlyn,Side.red,6.0,0.0,0.0,0.0,12.0,0.666666667,2.0,11.0,14.0,18054.0,0.0,,46239,6843,Other,Few,EU,0.5454545454545454,0.0,0.0,0.0,1.0909090909090908,0.18181818181818182,1.2727272727272727,1641.2727272727273,0.0,1.7267157295508868,4203.545454545455,622.0909090909091
1.0,,Caitlyn,Side.red,17.0,3303.0,16885.0,3303.0,9.0,3.222222222,12.0,18.0,19.0,26815.0,2.0,42.0,293229,19474,Other,Many,EU,0.9444444444444444,183.5,938.0555555555555,183.5,0.5,0.6666666666666666,1.0555555555555556,1489.7222222222222,0.1111111111111111,2.3333333333333335,16290.5,1081.888888888889
11.0,4.0,Viego,Side.red,8.0,835.0,21650.0,835.0,4.0,4.0,8.0,14.0,19.0,30575.0,0.0,30.0,173482,11359,TopLane_Jungle,Few,EU,0.5714285714285714,59.642857142857146,1546.4285714285713,59.642857142857146,0.2857142857142857,0.5714285714285714,1.3571428571428572,2183.9285714285716,0.0,2.142857142857143,12391.57142857143,811.3571428571429
12.0,14.0,TahmKench,Side.red,12.0,5538.0,8998.0,5538.0,5.0,4.2,9.0,16.0,37.0,,1.0,23.0,107320,13045,TopLane_Jungle,Many,EU,0.75,346.125,562.375,346.125,0.3125,0.5625,2.3125,1946.7523093455768,0.0625,1.4375,6707.5,815.3125
4.0,3.0,Karthus,Side.red,1.0,215.0,215.0,,5.0,0.6,2.0,10.0,7.0,7012.0,0.0,3.0,55232,5787,Other,Many,EU,0.1,21.5,21.5,,0.5,0.2,0.7,701.2,0.0,0.3,5523.2,578.7
4.0,14.0,Katarina,Side.blue,11.0,1029.0,1646.0,1029.0,5.0,4.4,11.0,15.0,4.0,22223.0,1.0,20.0,120836,12468,Other,Many,EU,0.7333333333333333,68.6,109.73333333333333,68.6,0.3333333333333333,0.7333333333333333,0.26666666666666666,1481.5333333333333,0.06666666666666667,1.3333333333333333,8055.733333333334,831.2
3.0,4.0,Karthus,Side.blue,14.0,145.0,16623.0,145.0,6.0,3.166666667,5.0,14.0,14.0,14637.0,1.0,12.0,124651,10676,Other,Many,EU,1.0,10.357142857142858,1187.357142857143,10.357142857142858,0.42857142857142855,0.35714285714285715,1.0,1045.5,0.07142857142857142,0.8571428571428571,8903.642857142857,762.5714285714286
4.0,11.0,RekSai,Side.blue,1.0,0.0,6303.0,0.0,3.0,1.666666667,4.0,9.0,13.0,12779.0,0.0,12.0,72943,6073,TopLane_Jungle,Few,EU,0.1111111111111111,0.0,700.3333333333334,0.0,0.3333333333333333,0.4444444444444444,1.4444444444444444,1419.888888888889,0.0,1.3333333333333333,8104.777777777777,674.7777777777778
,4.0,Qiyana,Side.red,11.0,491.0,16077.0,491.0,4.0,5.0,9.0,15.0,23.0,28202.0,0.0,22.0,174694,12792,TopLane_Jungle,Few,EU,0.7333333333333333,32.733333333333334,1071.8,32.733333333333334,0.26666666666666666,0.6,1.5333333333333334,1880.1333333333334,0.0,1.4666666666666666,11646.266666666666,852.8
4.0,11.0,Zed,Side.blue,11.0,1421.0,35191.0,1421.0,8.0,2.125,6.0,17.0,8.0,29519.0,0.0,31.0,233123,14106,TopLane_Jungle,Few,EU,0.6470588235294118,83.58823529411765,2070.0588235294117,83.58823529411765,0.47058823529411764,0.35294117647058826,0.47058823529411764,1736.4117647058824,0.0,1.8235294117647058,13713.117647058823,829.7647058823529
